"Title","Year","Directors"
"Mia Madre",2015,"Nanni Moretti"
"Festen",1998,"Thomas Vinterberg"
"Baden Baden",2016,"Rachel Lang"
"Black Sheep",2008,"Jonathan King"
"La vie est un long fleuve tranquille",1988,"Étienne Chatiliez"
"Le cri du homard",2012,"Nicolas Guiot"
"Arizona Dream",1993,"Emir Kusturica"
"La Loi du marché",2015,"Stéphane Brizé"
"Les Ogres",2016,"Léa Fehner"
"Under sandet",2017,"Martin Zandvliet"
"Brimstone",2017,"Martin Koolhoven"
"Ordet",1955,"Carl Theodor Dreyer"
"Away We Go",2009,"Sam Mendes"
"Beppie",1965,"Johan van der Keuken"
"Alexander",2004,"Oliver Stone"
"The Quiet Earth",1985,"Geoff Murphy"
"Gekijō-ban Sōdo Āto Onrain -Ōdinaru Sukēru-",2017,"Itou Tomohiko"
"Split",2017,"M. Night Shyamalan"
"Five",2016,"Igor Gotesman"
"Eshtebak",2016,"Mohamed Diab"
"Réparer les vivants",2016,"Katell Quillévéré"
"I Am Not Your Negro",2017,"Raoul Peck"
"Swagger",2016,"Olivier Babinet"
"Colossal",2017,"Nacho Vigalondo"
"Kono Sekai no Katasumi ni",2017,"Sunao Katabuchi"
"Oh Lucy!",2018,"Atsuko Hirayanagi"
"Tango and Cash",1989,"Andreï Kontchalovski, Albert Magnoli"
"Radegund",2019,"Terrence Malick"
"Siberia",2018,"Abel Ferrara"
"Paereosaiteu",2019,"Bong Joon-ho"
"Second Born",2018,"Park Chan-wook"
"The Ewok Adventure",1984,"John Korty"
"12 jours",2017,"Raymond Depardon"
"Bangkok Nites",2017,"Katsuya Tomita"
"Menina",2017,"Cristina Pinheiro"
"Amour",2012,"Michael Haneke"
"Laissez bronzer les cadavres",2017,"Hélène Cattet, Bruno Forzani"
"The Childhood of a Leader",2016,"Brady Corbet"
"Les Deux Amis",2015,"Louis Garrel"
"Mon roi",2015,"Maïwenn"
"Les Combattants",2014,"Thomas Cailley"
"Ginga Tetsudō no Yoru",1985,"Gisaburo Sugii, Arlen Tarlofsky"
"Batman of Shanghai",2012,""
"Spielberg",2017,"Susan Lacy"
"Jusqu'à la garde",2018,"Xavier Legrand"
"Hanyo",1960,"Kim Ki-Young"
"Les Garçons et Guillaume, à table !",2013,"Guillaume Gallienne"
"Comme une image",2004,"Agnès Jaoui"
"Shotgun Stories",2008,"Jeff Nichols"
"Qianxi Manbo",2001,"Hou Hsiao-Hsien"
"Cría Cuervos",1976,"Carlos Saura"
"Life of Pi",2012,"Ang Lee"
"The Boxer",1997,"Jim Sheridan"
"In the Name of the Father",1993,"Jim Sheridan"
"Dig!",2005,"Ondi Timoner"
"The Killing Fields",1984,"Roland Joffé"
"Au revoir les enfants",1987,"Louis Malle"
"Aruitemo aruitemo",2008,"Hirokazu Kore-eda"
"Tamara Drewe",2010,"Stephen Frears"
"Three Kings",1999,"David O. Russell"
"Videodrome",1983,"David Cronenberg"
"Beetlejuice",1988,"Tim Burton"
"Tsumiki no ie",2008,"Kunio Kato"
"Jiro Dreams of Sushi",2012,"David Gelb"
"The Crow",1994,"Alex Proyas"
"Tôkyô boshoku",1957,"Yasujirô Ozu"
"Metropolis",1927,"Fritz Lang"
"There Will Be Blood",2007,"Paul Thomas Anderson"
"Crimson Peak",2015,"Guillermo del Toro"
"Blue Ruin",2014,"Jeremy Saulnier"
"Ningen Shikkaku",2009,"Morio Asaka"
"Arīte Hime",2001,"Sunao Katabuchi"
"Sero hiki no Gôshu",1982,"Isao Takahata"
"クレヨンしんちゃん 嵐を呼ぶ 歌うケツだけ爆弾 ! (Kureyon Shinchan : Arashi o Yobu - Utau Ketsudake Bakudan !)",2007,"Yûji Mutô"
"Kokoro ga sakebitagatterunda.",2015,"Tatsuyuki Nagai"
"Hana to Alice Satsujin Jiken",2016,"Shunji Iwai"
"Kôkaku Kidôtai : Shin Gekijôban",2015,"Kazuchika Kise, Kazuya Nomura"
"The Thin Red Line",1998,"Terrence Malick"
"Paris, Texas",1984,"Wim Wenders"
"No",2013,"Pablo Larraín"
"Melancholia",2011,"Lars von Trier"
"Le Roi et l'Oiseau",1980,"Paul Grimault"
"We Are Legion: The Story of the Hacktivists",2012,"Brian Knappenberger"
"Mobile Suit Gundam Thunderbolt : December Sky",2016,"Matsuo Kou"
"Mad Max 2: The Road Warrior",1981,"George Miller"
"Enter the Void",2010,"Gaspar Noé"
"1984",1984,"Michael Radford"
"Babel",2006,"Alejandro González Inárritu"
"Enemy of Man",2015,"Vincent Regan"
"Piggy",2012,"Kieron Hawkes"
"Ôdishon",1999,"Takashi Miike"
"Planet Terror",2007,"Robert Rodriguez"
"American Psycho",2000,"Mary Harron"
"Crank",2006,"Mark Neveldine, Brian Taylor"
"Last Action Hero",1993,"John McTiernan"
"Oneamisu no Tsubasa: Ouritsu Uchuu-gun",1987,"Hiroyuki Yamaga"
"Momo e no tegami",2011,"Hiroyuki Okiura"
"Harmonie",2014,"Yasuhiro Yoshiura"
"The Woodsman",2004,"Nicole Kassell"
"Ritoru Witchi Akademia: Mahō Shikake no Parēdo",2015,"Yoh Yoshinari"
"Sidonia no Kishi",2015,"Kobun Shizuno"
"Emelie",2016,"Michael Thelin"
"Tales of Halloween",2015,"Paul Solet, John Skipp, Ryan Schifrin"
"Silence",2017,"Martin Scorsese"
"Atonement",2008,"Joe Wright"
"A Monster Calls",2017,"J.A. Bayona"
"The Last of Us",2020,"Sam Raimi"
"Evil Dead 3 : Army of Darkness",1992,"Sam Raimi"
"Rak ti Khon Kaen",2015,"Apichatpong Weerasethakul"
"Rofuto",2005,"Kiyoshi Kurosawa"
"Shokuzai : Celles qui voulaient oublier",2013,"Kiyoshi Kurosawa"
"Dead Ringers",1988,"David Cronenberg"
"Yi bo la beng duk",1996,"Herman Yau"
"Southland Tales",2007,"Richard Kelly"
"Serenity",2005,"Joss Whedon"
"The Man from Earth",2007,"Richard Schenkman"
"Dune",1984,"David Lynch"
"Little Miss Sunshine",2006,"Jonathan Dayton, Valerie Faris"
"The Tree of Life",2011,"Terrence Malick"
"The Truman Show",1998,"Peter Weir"
"Barry Lyndon",1975,"Stanley Kubrick"
"C'era una volta il West",1968,"Sergio Leone"
"Forrest Gump",1994,"Robert Zemeckis"
"Robot & Frank",2012,"Jake Schreier"
"Space Station 76",2014,"Jack Plotnick"
"The Perks of Being a Wallflower",2012,"Stephen Chbosky"
"Kubo and the Two Strings",2016,"Travis Knight"
