"Title","Year","Directors","Rating10"
"Evangerion Shin Gekijōban: Q",2012,"Hideaki Anno, Mahiro Maeda",9
"Mononoke Hime",1997,"Hayao Miyazaki",9
"Birdman or (The Unexpected Virtue of Ignorance)",2014,"Alejandro González Inárritu",8
"The Curious Case of Benjamin Button",2008,"David Fincher",6
"Avatar",2009,"James Cameron",4
"The Blair Witch Project",1999,"Daniel Myrick, Eduardo Sanchez",7
"Dunkirk",2017,"Christopher Nolan",5
"Chugyeogja",2008,"Na Hong-Jin",8
"Chicken Run",2000,"Peter Lord, Nick Park",8
"Okja",2017,"Bong Joon-ho",7
"The Incredibles",2004,"Brad Bird",7
"The Lost City of Z",2017,"James Gray",8
"Tout en haut du monde",2016,"Rémi Chayé",7
"Piper",2016,"Alan Barillaro",8
"Insomnia",2002,"Christopher Nolan",6
"Kaguyahime no Monogatari",2013,"Isao Takahata",8
"Bleeder",1999,"Nicolas Winding Refn",8
"Uncanny Valley",2015,"Federico Heller",5
"A Bigger Splash",2016,"Luca Guadagnino",6
"Macbeth",2015,"Justin Kurzel",7
"Oblivion",2013,"Joseph Kosinski",5
"The Raid 2 : Berandal",2014,"Gareth Evans",7
"Short Term 12",2013,"Destin Cretton",5
"The Maze Runner",2014,"Wes Ball",5
"Dracula Untold",2014,"Gary Shore",4
"Sicario",2015,"Denis Villeneuve",3
"Deadpool",2016,"Tim Miller",4
"The Hobbit : An Unexpected Journey",2012,"Peter Jackson",4
"Marudukku sukuranburu : Haiki",2012,"Susumu Kudo",4
"Nerawareta Gakuen",2012,"Ryosuke Nakamura",3
"Tron : Legacy",2010,"Joseph Kosinski",3
"Ender's Game",2013,"Gavin Hood",4
"The Hobbit: The Desolation of Smaug",2013,"Peter Jackson",4
"Lawless",2012,"John Hillcoat",6
"Arve Rezzle : Kikaijikake no Yoseitachi",2013,"Tatsuya Yoshihara",4
"Mission: Impossible - Rogue Nation",2015,"Christopher McQuarrie",4
"Rakuen Tsuihō",2014,"Seiji Mizushima",4
"X-Men : Days of Future Past",2014,"Bryan Singer",4
"Big Hero 6",2014,"Chris Williams, Don Hall",6
